	level_0	index	font-family	font-size	color	left	top	language	text	innerWidth	innerHeight	link	boxID	width	manga	page_width	page_height	id	font-weight	margin	text-align	-webkit-writing-mode	-webkit-text-orientation
7	7	7	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	31.0	951.0	jp	"なにも
そんなに
いわなく
ても…
暑
あつ
い
からって
やつあたりは
やめてくれ"	230	132	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	7		Doraemon_Long_Stories	800	1288	2					
8	8	8	 yasashisa-antique, sans-serif	30.0	[' 0', '0', '0']	558.0	134.0	jp	"うら
やま
しい"	129	72	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	8		Doraemon_Long_Stories	800	1288	2					
9	9	9	 yasashisa-antique, sans-serif	25.0	[' 0', '0', '0']	524.0	673.0	jp	"あ〜
いやだ
いやだ"	108	87	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	9		Doraemon_Long_Stories	800	1288	2					
10	0	10	 hl-comic2, sans-serif	18.0	[' 0', '0', '0']	548.0	138.0	en	I'M SO JEALOUS!!	141	58	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	8	141.0	Doraemon_Long_Stories	800	1288	2					
11	1	11	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	369.0	144.0	en	I WANNA SURPRISE HIM TOO	109	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	0	109.0	Doraemon_Long_Stories	800	1288	2					
12	2	12	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	195.0	132.0	en	CAN YOU TAKE OUT A ROBOT THAT IS TALL AS A BUILDING?	132	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	1	132.0	Doraemon_Long_Stories	800	1288	2					
13	3	13	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	614.0	411.0	en	YOU'RE SO SIMPLE	96	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	2	96.0	Doraemon_Long_Stories	800	1288	2					
14	4	14	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	259.0	408.0	en	"DID YOU EVER THINK HOW MUCH IT WOULD COST ME TO BUY 
SUCH A BIG ROBOT?"	239	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	3	239.0	Doraemon_Long_Stories	800	1288	2					
15	5	15	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	46.0	424.0	en	JEEZ... I CAN'T STAND THIS HEAT ANYMORE...	118	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	4	118.0	Doraemon_Long_Stories	800	1288	2					
16	6	16	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	257.0	679.0	en	"I WANNA COOL DOWN 
A BIT"	115	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	5	115.0	Doraemon_Long_Stories	800	1288	2					
17	7	17	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	85.0	671.0	en	AS FOR YOU, JUST DO YOUR HOMEWORK	142	60	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	6	142.0	Doraemon_Long_Stories	800	1288	2					
18	8	18	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	142.0	720.0	en	IF YOU HAVE NOTHING ELSE TO DO.	116	60	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	6	116.0	Doraemon_Long_Stories	800	1288	2					
19	9	19	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	40.0	954.0	en	WHY DID YOU HAVE TO BE SO RUDE? JEEZ, THE HEAT MUST HAVE GOT IN TO HIS HEAD!	224	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	7	224.0	Doraemon_Long_Stories	800	1288	2					
20	10	20	 hl-comic2, sans-serif	25.0	[' 0', '0', '0']	519.0	679.0	en	NO WAY! NO WAY!	107	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	9	107.0	Doraemon_Long_Stories	800	1288	2					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	682.0	93.0	jp	"宿題
しゅくだい
しろ
だって？"	76	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	0		Doraemon_Long_Stories	800	1279	3					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	548.0	99.0	jp	"よけいな
おせわ
だよ…"	93	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	1		Doraemon_Long_Stories	800	1279	3					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	207.0	110.0	jp	"暑
あつ
い
なあ！"	76	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	2		Doraemon_Long_Stories	800	1279	3					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	77.0	112.0	jp	"昼
ひる
寝
ね
も
できない"	76	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	3		Doraemon_Long_Stories	800	1279	3					
4	4	4	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	373.0	630.0	jp	"なんだ
ここは
南
なん
極
きょく
か
北
ほっ
極
きょく
か？"	140	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	4		Doraemon_Long_Stories	800	1279	3					
5	5	5	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	675.0	353.0	jp	"ぼくも
すずみに
いこう"	93	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	5		Doraemon_Long_Stories	800	1279	3					
6	6	6	 yasashisa-antique, sans-serif	35.0	[' 0', '0', '0']	84.0	373.0	jp	"寒
さむ
い"	74	82	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	6		Doraemon_Long_Stories	800	1279	3					
7	0	7	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	659.0	97.0	en	"HE ASKED ME TO 
DO MY HOMEWORK
!?"	121	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	0	121.0	Doraemon_Long_Stories	800	1279	3					
8	1	8	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	552.0	111.0	en	IT WAS TOO MUCH!	81	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-5	1	81.0	Doraemon_Long_Stories	800	1279	3					
